发表时间,来源,论文类型,论文题目,题目翻译,谷歌引用,论文地址,代码地址,Github Star,所用数据集,数据集地址,备注
2025,Medical,视觉语言模型；医学图像预训练,Boosting Vision Semantic Density with Anatomy Normality Modeling for Medical Vision-language Pre-training,通过解剖学正常性建模提升医学视觉-语言预训练中的视觉语义密度,2,https://arxiv.org/abs/2508.03742,https://github.com/alibaba-damo-academy/ViSD-Boost,1,,,
2025,Medical,测试时间适应；医学图像分割,Progressive Test Time Energy Adaptation for Medical Image Segmentation,医学图像分割的渐进式测试时间能量适应,2,https://arxiv.org/abs/2503.16616,https://github.com/Voldemort108X/pttea_seg,3,,,
2025,Medical,自监督学习；医学视觉预训练,Vector Contrastive Learning For Pixel-Wise Pretraining In Medical Vision,医学视觉的像素级预训练向量对比学习,0,https://arxiv.org/abs/2506.20850,https://github.com/YutingHe-list/COVER,7,,,
2025,Medical,持续学习；多领域医学成像,CoSMIC: Continual Self-supervised Learning for Multi-Domain Medical Imaging via Conditional Mutual Information Maximization,CoSMIC：通过条件互信息最大化实现多领域医学成像的持续自监督学习,0,https://openaccess.thecvf.com/content/ICCV2025/html/Liu_CoSMIC_Continual_Self-supervised_Learning_for_Multi-Domain_Medical_Imaging_via_Conditional_ICCV_2025_paper.html,,,,,
2025,Medical,跨领域适应；医学图像分割,Toward Fair and Accurate Cross-Domain Medical Image Segmentation: A VLM-Driven Active Domain Adaptation Paradigm,朝向公平与准确的跨领域医学图像分割：基于VLM的主动领域适应范式,1,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_Toward_Fair_and_Accurate_Cross-Domain_Medical_Image_Segmentation_A_VLM-Driven_ICCV_2025_paper.pdf,https://github.com/whq-xxh/Fair-AP,3,,,
2025,Medical,用户偏好；医学图像分割,SPA: Efficient User-Preference Alignment against Uncertainty in Medical Image Segmentation,SPA：针对医学图像分割中的不确定性高效的用户偏好对齐,2,https://arxiv.org/abs/2411.15513,https://github.com/SuperMedIntel/SPA,12,,,
2025,Medical,弱监督学习；医学视觉定位,Seeing the Trees for the Forest: Rethinking Weakly-Supervised Medical Visual Grounding,为森林看树：重新思考弱监督医学视觉定位,1,https://arxiv.org/abs/2505.15123,,,,,
2025,Medical,视觉上下文学习；医学任务,Is Visual in-Context Learning for Compositional Medical Tasks within Reach?,复合医学任务的视觉上下文学习是否触手可及？,0,https://arxiv.org/abs/2507.00868,,,,,
2025,Medical,图像插值；医学成像,FB-Diff: Fourier Basis-guided Diffusion for Temporal Interpolation of 4D Medical Imaging,FB-Diff：傅里叶基引导的扩散用于4D医学成像的时间插值,0,https://arxiv.org/abs/2507.04547,,,,,
2025,Medical,测试时间适应；医学分割,Test-time Adaptation for Foundation Medical Segmentation Model Without Parametric Updates,不需要参数更新的基础医学分割模型的测试时间适应,1,https://arxiv.org/abs/2504.02008,,,,,
2025,Medical,记忆网络；医学图像分割,Similarity Memory Prior is All You Need for Medical Image Segmentation,相似性记忆先验是医学图像分割的全部所需,0,https://arxiv.org/abs/2507.00585,https://github.com/vpsg-research/Sim-MPNet,3,,,
2025,Medical,去标识化；医学图像处理,Semantic versus Identity: A Divide-and-Conquer Approach towards Adjustable Medical Image De-Identification,语义与身份：面向可调医学图像去标识化的分而治之方法,2,https://arxiv.org/abs/2507.21703,,,,,
2025,Medical,专家控制；医学视觉语言,Uncertainty-Driven Expert Control: Enhancing the Reliability of Medical Vision-Language Models,基于不确定性的专家控制：增强医学视觉-语言模型的可靠性,0,https://arxiv.org/abs/2507.09209,,,,,
2025,Medical,视频超分辨率；医学视频,MedVSR: Medical Video Super-Resolution with Cross State-Space Propagation,MedVSR：通过跨状态空间传播进行医学视频超分辨率,0,https://arxiv.org/abs/2509.21265,https://github.com/CUHK-AIM-Group/MedVSR,5,,,
2025,Medical,图像生成；医学图像,MedSegFactory: Text-Guided Generation of Medical Image-Mask Pairs,MedSegFactory：基于文本引导的医学图像-掩码对生成,0,https://arxiv.org/abs/2504.06897,https://github.com/jwmao1/MedSegFactory,24,,,
2025,Medical,多模态融合；医学图像,UniFuse: A Unified All-in-One Framework for Multi-Modal Medical Image Fusion Under Diverse Degradations and Misalignments,UniFuse：一个统一的多模态医学图像融合框架，适应不同退化与错位,1,https://arxiv.org/abs/2506.22736,,,,,
2025,Medical,多模态学习；医学绑定,ProbMED: A Probabilistic Framework for Medical Multimodal Binding,ProbMED：一个医学多模态绑定的概率框架,0,https://arxiv.org/abs/2509.25711,https://github.com/mcintoshML/probMED,3,,,
2025,Medical,世界模型；医学建模,Medical World Model,医学世界模型,10,https://arxiv.org/abs/2506.02327,https://github.com/scott-yjyang/MeWM,97,,,
2025,Medical,自监督预训练；医学图像,SAMora: Enhancing SAM through Hierarchical Self-Supervised Pre-Training for Medical Images,SAMora：通过层次自监督预训练增强SAM在医学图像中的表现,0,https://arxiv.org/abs/2511.08626,https://github.com/ShChen233/SAMora,0,,,
2025,Multimodal,,MM-IFEngine: Towards Multimodal Instruction Following,MM-IFEngine：面向多模态指令跟随的研究,16,https://arxiv.org/abs/2504.07957,https://github.com/SYuan03/MM-IFEngine,113,,,
2025,Multimodal,,G2D: Boosting Multimodal Learning with Gradient-Guided Distillation,G2D：通过梯度引导蒸馏提升多模态学习,0,https://arxiv.org/abs/2506.21514,https://github.com/rAIson-Lab/G2D,3,,,
2025,Multimodal,,What You Have is What You Track: Adaptive and Robust Multimodal Tracking,你所拥有的就是你所追踪的：自适应与鲁棒的多模态跟踪,0,https://arxiv.org/abs/2507.05899,https://github.com/supertyd/FlexTrack,18,,,
2025,Multimodal,,How Do Multimodal Large Language Models Handle Complex Multimodal Reasoning? Placing Them in An Extensible Escape Game,多模态大语言模型如何处理复杂的多模态推理？将其置于可扩展的逃脱游戏中,5,https://arxiv.org/abs/2503.10042,https://github.com/THUNLP-MT/EscapeCraft,34,,,
2025,Multimodal,,Corvid: Improving Multimodal Large Language Models Towards Chain-of-Thought Reasoning,Corvid：提升多模态大语言模型的链式思维推理能力,6,https://arxiv.org/abs/2507.07424,https://mm-vl.github.io/corvid,,,,
2025,Multimodal,,CompCap: Improving Multimodal Large Language Models with Composite Captions,CompCap：通过复合字幕提升多模态大语言模型,5,https://arxiv.org/abs/2412.05243,,,,,
2025,Multimodal,,AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,AIGI-Holmes：通过多模态大语言模型实现可解释且具有普适性的AI生成图像检测,10,https://arxiv.org/abs/2507.02664,,,,,
2025,Multimodal,,R1-Onevision: Advancing Generalized Multimodal Reasoning through Cross-Modal Formalization,R1-Onevision：通过跨模态形式化推进多模态推理的通用性,182,https://arxiv.org/abs/2503.10615,https://github.com/Fancy-MLLM/R1-Onevision,571,,,
2025,Multimodal,,HIS-GPT: Towards 3D Human-In-Scene Multimodal Understanding,HIS-GPT：面向3D场景的人物-场景多模态理解,1,https://arxiv.org/abs/2503.12955,https://github.com/ZJHTerry18/HumanInScene,3,,,
2025,Multimodal,,Hints of Prompt: Enhancing Visual Representation for Multimodal LLMs in Autonomous Driving,提示的线索：在自动驾驶中提升多模态大语言模型的视觉表示,2,https://arxiv.org/abs/2411.13076,,,,,
2025,Multimodal,,Analyzing Finetuning Representation Shift for Multimodal LLMs Steering,分析多模态大语言模型微调后的表示转变,5,https://arxiv.org/abs/2501.03012,https://github.com/mshukor/xl-vlms,44,,,
2025,Multimodal,,Visual-Oriented Fine-Grained Knowledge Editing for MultiModal Large Language Models,面向多模态大语言模型的视觉导向细粒度知识编辑,0,https://arxiv.org/abs/2411.12790,,,,,
2025,Multimodal,,Bridging Domain Generalization to Multimodal Domain Generalization via Unified Representations,通过统一表征架构将领域泛化拓展至多模态领域泛化,2,https://arxiv.org/abs/2507.03304,,,,,
2025,Multimodal,,MissRAG: Addressing the Missing Modality Challenge in Multimodal Large Language Models,MissRAG：解决多模态大语言模型中的缺失模态问题,2,https://arxiv.org/abs/2507.03304,https://github.com/aimagelab/MissRAG,16,,,
2025,Multimodal,,EgoM2P: Egocentric Multimodal Multitask Pretraining,EgoM2P：自我中心化的多模态多任务预训练,0,https://arxiv.org/abs/2506.07886,,,,,
2025,Multimodal,,On Large Multimodal Models as Open-World Image Classifiers,大规模多模态模型作为开放世界图像分类器的研究,2,https://arxiv.org/abs/2503.21851,https://github.com/altndrr/lmms-owc,24,,,
2025,Multimodal,,XTrack: Multimodal Training Boosts RGB-X Video Object Trackers,XTrack：多模态训练提升RGB-X视频目标跟踪器性能,4,https://arxiv.org/abs/2405.17773,https://github.com/supertyd/XTrack,25,,,
2025,Multimodal,,Scaling Laws for Native Multimodal Models,原生多模态模型的扩展规律,14,https://arxiv.org/abs/2504.07951,,,,,
2025,Multimodal,,LLaVA-KD: A Framework of Distilling Multimodal Large Language Models,LLaVA-KD：多模态大语言模型蒸馏框架,16,https://arxiv.org/abs/2410.16236,https://github.com/Fantasyele/LLaVA-KD,108,,,
2025,Multimodal,,G2SF: Geometry-Guided Score Fusion for Multimodal Industrial Anomaly Detection,G2SF：面向多模态工业异常检测的几何引导得分融合,2,https://arxiv.org/abs/2503.10091,,,,,
2025,Multimodal,,CMT: A Cascade MAR with Topology Predictor for Multimodal Conditional CAD Generation,CMT：一种基于拓扑预测的级联MAR用于多模态条件CAD生成,0,https://arxiv.org/abs/2504.20830,,,,,
2025,Multimodal,,Oasis: One Image is All You Need for Multimodal Instruction Data Synthesis,Oasis：一图即得，基于多模态指令数据合成的研究,5,https://arxiv.org/abs/2503.08741,https://github.com/Letian2003/MM_INF,32,,,
2025,Multimodal,,Calibrating MLLM-as-a-judge via Multimodal Bayesian Prompt Ensembles,通过多模态贝叶斯提示集提升MLLM作为评判者的能力,0,https://arxiv.org/abs/2509.08777,,,,,
2025,Multimodal,,AVAM: a Universal Training-free Adaptive Visual Anchoring Embedded into Multimodal Large Language Model for Multi-image Question Answering,AVAM：一种无需训练的自适应视觉锚定方法，嵌入到多模态大语言模型中，应用于多图像问答,0,https://arxiv.org/abs/2508.17860,,,,,
2025,Multimodal,,LIRA: Reasoning Reconstruction via Multimodal Large Language Models,LIRA：通过多模态大语言模型进行推理重构,0,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhou_LIRA_Reasoning_Reconstruction_via_Multimodal_Large_Language_Models_ICCV_2025_paper.pdf,https://github.com/zhen6618/LIRA,319,,,
2025,Multimodal,,SiM3D: Single-instance Multiview Multimodal and Multisetup 3D Anomaly Detection Benchmark,SiM3D：单实例多视图多模态与多设置3D异常检测基准,0,https://arxiv.org/abs/2506.21549,,,,,
2025,Multimodal,,AutoComPose: Automatic Generation of Pose Transition Descriptions for Composed Pose Retrieval Using Multimodal LLMs,AutoComPose：基于多模态大语言模型的姿态过渡描述自动生成方法,0,https://arxiv.org/abs/2503.22884,,,,,
2025,Multimodal,,CMAD: Correlation-Aware and Modalities-Aware Distillation for Multimodal Sentiment Analysis with Missing Modalities,CMAD：针对缺失模态的多模态情感分析的相关性感知与模态感知蒸馏,1,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhuang_CMAD_Correlation-Aware_and_Modalities-Aware_Distillation_for_Multimodal_Sentiment_Analysis_with_Missing_Modalities_ICCV_2025_paper.pdf,https://github.com/YetZzzzzz/CMAD,11,,,
2025,Multimodal,,Rethinking Cross-Modal Interaction in Multimodal Diffusion Transformers,重新思考多模态扩散变换器中的跨模态交互,2,https://arxiv.org/abs/2506.07986,https://github.com/Vchitect/TACA,39,,,
2025,Multimodal,,What Changed? Detecting and Evaluating Instruction-Guided Image Edits with Multimodal Large Language Models,什么改变了？检测与评估多模态大语言模型指导下的图像编辑,2,https://arxiv.org/abs/2505.20405,,,,,
2025,Multimodal,,CapeLLM: Support-Free Category-Agnostic Pose Estimation with Multimodal Large Language Models,CapeLLM：基于多模态大语言模型的无支持类别无关姿态估计,1,https://arxiv.org/abs/2411.06869,,,,,
2025,Multimodal,,2.5 Years in Class: A Multimodal Textbook for Vision-Language Pretraining,2.5年课堂：面向视觉语言预训练的多模态教材,2,https://arxiv.org/abs/2501.00958,https://github.com/DAMO-NLP-SG/multimodal_textbook,177,,,
2025,Multimodal,,Are They the Same? Exploring Visual Correspondence Shortcomings of Multimodal LLMs,它们是相同的吗？探索多模态大语言模型中的视觉对应问题,9,https://arxiv.org/abs/2501.04670,https://github.com/zhouyiks/CoLVA,40,,,
2025,Multimodal,,Jailbreaking Multimodal Large Language Models via Shuffle Inconsistency,通过乱序不一致攻击破解多模态大语言模型,25,https://arxiv.org/abs/2501.04931,,,,,
2025,Multimodal,,GenieBlue: Integrating both Linguistic and Multimodal Capabilities for Large Language Models on Mobile Devices,GenieBlue：为大语言模型在移动设备上整合语言与多模态能力,3,https://arxiv.org/abs/2503.06019,,,,,
2025,Multimodal,,HiMTok: Learning Hierarchical Mask Tokens for Image Segmentation with Large Multimodal Model,HiMTok：通过大规模多模态模型学习层级化掩码令牌进行图像分割,3,https://arxiv.org/abs/2503.13026,https://github.com/yayafengzi/LMM-HiMTok,79,,,
2025,Multimodal,,Federated Prompt-Tuning with Heterogeneous and Incomplete Multimodal Client Data,异构且不完整的多模态客户端数据的联邦提示调优,1,https://openaccess.thecvf.com/content/ICCV2025/papers/Phung_Federated_Prompt-Tuning_with_Heterogeneous_and_Incomplete_Multimodal_Client_Data_ICCV_2025_paper.pdf,,,,,
2025,Multimodal,,LMM-Det: Make Large Multimodal Models Excel in Object Detection,LMM-Det：让大规模多模态模型在目标检测中表现卓越,1,https://arxiv.org/abs/2507.18300,https://github.com/360CVGroup/LMM-Det,54,,,
2025,Multimodal,,MA-CIR: A Multimodal Arithmetic Benchmark for Composed Image Retrieval,MA-CIR：多模态算术基准用于组合图像检索,0,https://openaccess.thecvf.com/content/ICCV2025/html/Byun_MA-CIR_A_Multimodal_Arithmetic_Benchmark_for_Composed_Image_Retrieval_ICCV_2025_paper.html,https://github.com/jaeseokbyun/MACIR,0,,,
2025,Multimodal,,Dynamic Multimodal Prototype Learning in Vision-Language Models,基于视觉语言模型的动态多模态原型学习,4,https://arxiv.org/abs/2507.03657,,,,,
2025,Multimodal,,GRAB: A Challenging GRaph Analysis Benchmark for Large Multimodal Models,GRAB：一个挑战性的多模态大语言模型图分析基准,7,https://arxiv.org/abs/2408.11817,,,,,
2025,Multimodal,,V2PE: Improving Multimodal Long-Context Capability of Vision-Language Models with Variable Visual Position Encoding,V2PE：通过变换视觉位置编码提升视觉语言模型的多模态长上下文能力,19,https://arxiv.org/abs/2412.09616,https://github.com/OpenGVLab/V2PE,58,,,
2025,Multimodal,,LLaVA-PruMerge: Adaptive Token Reduction for Efficient Large Multimodal Models,LLaVA-PruMerge：高效大规模多模态模型的自适应标记减少方法,240,https://arxiv.org/abs/2403.15388,,,,,
2025,Multimodal,,SHIFT: Smoothing Hallucinations by Information Flow Tuning for Multimodal Large Language Models,SHIFT：通过信息流调优平滑多模态大语言模型的虚假信息,0,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_SHIFT_Smoothing_Hallucinations_by_Information_Flow_Tuning_for_Multimodal_Large_ICCV_2025_paper.html,,,,,
2025,Multimodal,,MCAM: Multimodal Causal Analysis Model for Ego-Vehicle-Level Driving Video Understanding,MCAM：面向自驾视频理解的多模态因果分析模型,0,https://arxiv.org/abs/2507.06072,,,,,
2025,Multimodal,,Visual Chronicles: Using Multimodal LLMs to Analyze Massive Collections of Images,视觉编年史：使用多模态大语言模型分析大量图像,2,https://arxiv.org/abs/2504.08727,,,,,
2025,Multimodal,,"OpenVision: A Fully-Open, Cost-Effective Family of Advanced Vision Encoders for Multimodal Learning",OpenVision：一套完全开放、成本效益高的多模态学习先进视觉编码器,4,https://arxiv.org/abs/2505.04601,https://github.com/UCSC-VLAA/OpenVision,407,,,
2025,Multimodal,,Unified Multimodal Understanding via Byte-Pair Visual Encoding,通过字节对视觉编码实现统一多模态理解,2,https://arxiv.org/abs/2506.23639,,,,,
2025,Multimodal,,Benchmarking Multimodal Large Language Models Against Image Corruptions,基准测试多模态大语言模型在图像腐败下的表现,0,https://openaccess.thecvf.com/content/ICCV2025/papers/Qiu_Benchmarking_Multimodal_Large_Language_Models_Against_Image_Corruptions_ICCV_2025_paper.pdf,,,,,
2025,Multimodal,,BASIC: Boosting Visual Alignment with Intrinsic Refined Embeddings in Multimodal Large Language Models,BASIC：通过内在精细化嵌入提升多模态大语言模型的视觉对齐,0,https://arxiv.org/abs/2508.06895,,,,,
2025,Multimodal,,RoboTron-Mani: All-in-One Multimodal Large Model for Robotic Manipulation,RoboTron-Mani：多模态大模型一体化应用于机器人操作,17,https://arxiv.org/abs/2412.07215,https://github.com/RoboUniview/RoboMM,96,,,
2025,Multimodal,,Boosting Multimodal Learning via Disentangled Gradient Learning,通过解耦梯度学习提升多模态学习,1,https://arxiv.org/abs/2507.10213,https://github.com/shicaiwei123/ICCV2025-GDL,21,,,
2025,Multimodal,,Bootstrapping Grounded Chain-of-Thought in Multimodal LLMs for Data-Efficient Model Adaptation,通过多模态大语言模型中的数据高效适应推动基础链式思维,3,https://arxiv.org/abs/2507.02859,,,,,
2025,Multimodal,,Fusion Meets Diverse Conditions: A High-diversity Benchmark and Baseline for UAV-based Multimodal Object Detection with Condition Cues,融合多种条件：基于条件提示的UAV多模态目标检测高多样性基准与基线,1,https://arxiv.org/abs/2510.13620,,,,,
2025,Multimodal,,MetaMorph: Multimodal Understanding and Generation via Instruction Tuning,MetaMorph：通过指令调优实现多模态理解与生成,109,https://arxiv.org/abs/2412.14164,https://github.com/facebookresearch/metamorph,221,,,
2025,Multimodal,,MultiModal Action Conditioned Video Simulation,多模态动作条件视频模拟,0,https://arxiv.org/abs/2510.02287,,,,,
2025,Multimodal,,Controlling Multimodal LLMs via Reward-guided Decoding,通过奖励引导解码控制多模态大语言模型,0,https://arxiv.org/abs/2508.11616,,,,,
2025,Multimodal,,SAMPLE: Semantic Alignment through Temporal-Adaptive Multimodal Prompt Learning for Event-Based Open-Vocabulary Action Recognition,SAMPLE：基于时间自适应多模态提示学习的开放词汇行为识别,0,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_SAMPLE_Semantic_Alignment_through_Temporal-Adaptive_Multimodal_Prompt_Learning_for_Event-Based_ICCV_2025_paper.pdf,,,,,
2025,Multimodal,,Multimodal LLMs as Customized Reward Models for Text-to-Image Generation,多模态大语言模型作为定制奖励模型生成文本到图像,0,https://arxiv.org/abs/2507.21391,,,,,
2025,Multimodal,,Exploring Multimodal Diffusion Transformers for Enhanced Prompt-based Image Editing,探索多模态扩散变换器在提升基于提示图像编辑中的作用,0,https://arxiv.org/abs/2508.07519,,,,,
2025,Multimodal,,Scaling Omni-modal Pretraining with Multimodal Context: Advancing Universal Representation Learning Across Modalities,基于多模态上下文的全方位预训练：推进跨模态普适表征学习,,https://openreview.net/forum?id=Ux0BEP46fd,https://github.com/invictus717/MiCo,121,,,
2025,Multimodal,,Heuristic-Induced Multimodal Risk Distribution Jailbreak Attack for Multimodal Large Language Models,启发式引发的多模态风险分布破解攻击针对多模态大语言模型,,https://arxiv.org/abs/2412.05934,https://github.com/MaTengSYSU/HIMRD-jailbreak,13,,,
2025,Multimodal,,Enrich and Detect: Video Temporal Grounding with Multimodal LLMs,丰富与检测：多模态大语言模型在视频时序定位中的应用,,https://arxiv.org/abs/2510.17023,,,,,
2025,Multimodal,,Enhancing Few-Shot Vision-Language Classification with Large Multimodal Model Features,提升基于少量样本的视觉语言分类：利用大规模多模态模型特征,,https://arxiv.org/abs/2412.00142,https://github.com/chancharikmitra/SAVs_website,0,,,
2025,Multimodal,,FedMVP: Federated Multimodal Visual Prompt Tuning for Vision-Language Models,FedMVP：基于联邦多模态视觉提示调优的视觉语言模型,,https://arxiv.org/abs/2504.20860,https://github.com/mainaksingha01/FedMVP,2,,,
2025,Multimodal,,VisNumBench: Evaluating Number Sense of Multimodal Large Language Models,VisNumBench：评估多模态大语言模型的数字感知能力,3,https://arxiv.org/abs/2503.14939,https://github.com/GML-FMGroup/mllm_number_sense,7,,,
2025,Multimodal,,ShortV: Efficient Multimodal Large Language Models by Freezing Visual Tokens in Ineffective Layers,ShortV：通过冻结视觉标记于无效层提高多模态大语言模型效率,2,https://arxiv.org/abs/2504.00502,https://github.com/icip-cas/ShortV,10,,,
2025,Multimodal,,MDP-Omni: Parameter-free Multimodal Depth Prior-based Sampling for Omnidirectional Stereo Matching,MDP-Omni：面向全向立体匹配的无参数多模态深度先验采样,0,https://openaccess.thecvf.com/content/ICCV2025/html/Son_MDP-Omni_Parameter-free_Multimodal_Depth_Prior-based_Sampling_for_Omnidirectional_Stereo_Matching_ICCV_2025_paper.html,,,,,
2025,Multimodal,,"FinMMR: Make Financial Numerical Reasoning More Multimodal, Comprehensive, and Challenging",FinMMR：使金融数值推理变得更具多模态性、综合性和挑战性,0,https://arxiv.org/abs/2508.04625,,,,,
2025,Multimodal,,How Would It Sound? Material-Controlled Multimodal Acoustic Profile Generation for Indoor Scenes,它会听起来怎么样？基于材料控制的室内场景多模态声学特征生成,3,https://arxiv.org/abs/2508.02905,https://mahnoor-fatima-saad.github.io/m-capa.html,,,,
2025,Multimodal,,R1-VL: Learning to Reason with Multimodal Large Language Models via Step-wise Group Relative Policy Optimization,R1-VL：通过逐步群体相对策略优化使多模态大语言模型学会推理,154,https://arxiv.org/abs/2503.12937,https://github.com/jingyi0000/R1-VL,436,,,
2025,Multimodal,,Efficient Visual Place Recognition Through Multimodal Semantic Knowledge Integration,通过多模态语义知识整合实现高效的视觉位置识别,1,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_Efficient_Visual_Place_Recognition_Through_Multimodal_Semantic_Knowledge_Integration_ICCV_2025_paper.pdf,,,,,
2025,Multimodal,,RMultiplex200K: Toward Reliable Multimodal Process Supervision for Visual Language Models on Telecommunications,RMultiplex200K：面向电信领域视觉语言模型的可靠多模态过程监督,0,https://openaccess.thecvf.com/content/ICCV2025/papers/Chen_RMultiplex200K_Toward_Reliable_Multimodal_Process_Supervision_for_Visual_Language_Models_on_Telecommunications_ICCV_2025_paper.pdf,,,,,
2025,Multimodal,,Text2Outfit: Controllable Outfit Generation with Multimodal Language Models,Text2Outfit：基于多模态语言模型的可控服装生成,0,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhai_Text2Outfit_Controllable_Outfit_Generation_with_Multimodal_Language_Models_ICCV_2025_paper.pdf,,,,,
2025,Multimodal,,TWIST & SCOUT: Grounding Multimodal LLM-Experts by Forget-Free Tuning,TWIST与SCOUT：通过忘记无关调优为多模态LLM专家提供指导,0,https://arxiv.org/abs/2410.10491,,,,,
2025,Multimodal,,MM-Spatial: Exploring 3D Spatial Understanding in Multimodal LLMs,MM-Spatial：探索多模态大语言模型中的3D空间理解,15,https://arxiv.org/abs/2503.13111,,,,,
2025,Multimodal,,Multimodal Latent Diffusion Model for Complex Sewing Pattern Generation,多模态潜在扩散模型用于复杂缝制图案生成,5,https://arxiv.org/abs/2412.14453,https://github.com/shengqiliu1/SewingLDM,25,,,
2025,Multimodal,,SimpleVQA: Multimodal Factuality Evaluation for Multimodal Large Language Models,SimpleVQA：面向多模态大语言模型的事实性评估基准,13,https://arxiv.org/abs/2502.13059,https://github.com/SimpleVQA/SimpleVQA,9,,,
2025,Multimodal,,Can Knowledge be Transferred from Unimodal to Multimodal? Investigating the Transitivity of Multimodal Knowledge Editing,单模态到多模态的知识迁移能否实现？探讨多模态知识编辑的可传递性,0,https://openaccess.thecvf.com/content/ICCV2025/papers/Fang_Can_Knowledge_be_Transferred_from_Unimodal_to_Multimodal_Investigating_the_Transitivity_of_Multimodal_Knowledge_Editing_ICCV_2025_paper.pdf,,,,,
2025,Multimodal,,WSI-LLaVA: A Multimodal Large Language Model for Whole Slide Image,WSI-LLaVA：用于全切片图像的多模态大语言模型,8,https://arxiv.org/abs/2412.02141,https://github.com/XinhengLyu/WSI-LLaVA,31,,,
2025,Multimodal,,OURO: A Self-Bootstrapped Framework for Enhancing Multimodal Scene Understanding,OURO：一个自引导框架，提升多模态场景理解,0,https://openaccess.thecvf.com/content/ICCV2025/papers/Xu_OURO_A_Self-Bootstrapped_Framework_for_Enhancing_Multimodal_Scene_Understanding_ICCV_2025_paper.pdf,https://github.com/tinnel123666888/OURO.git,28,,,
2025,Multimodal,,Enhancing Spatial Reasoning in Multimodal Large Language Models through Reasoning-based Segmentation,通过基于推理的分割提升多模态大语言模型中的空间推理能力,1,https://arxiv.org/abs/2506.23120,,,,,
2025,Multimodal,,Unbiased Missing-modality Multimodal Learning,无偏缺失模态多模态学习,0,https://openaccess.thecvf.com/content/ICCV2025/papers/Dai_Unbiased_Missing-modality_Multimodal_Learning_ICCV_2025_paper.pdf,,,,,
